DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1,Zone 2,Zone 3
01-01-2017 00:00,6.196833333,75.06666667,0.081833333,0.0635,0.098833333,29197.97468,18026.74772,19252.04819
01-01-2017 01:00,5.548833333,77.58333333,0.082,0.056833333,0.1125,24657.21519,16078.41945,17042.89157
01-01-2017 02:00,5.054333333,78.93333333,0.082333333,0.063,0.129166667,22083.03797,14330.69909,15676.14458
01-01-2017 03:00,5.004333333,77.08333333,0.082833333,0.059833333,0.141,20811.13924,13219.45289,14883.85542
01-01-2017 04:00,5.097666667,74.05,0.082333333,0.058,0.122833333,20475.94937,12921.58055,14317.10843
01-01-2017 05:00,4.741666667,75.23333333,0.081,0.065833333,0.118833333,20807.08861,13069.90882,14395.18072
01-01-2017 06:00,4.571666667,75.75,0.082166667,0.061666667,0.1255,21648.60759,13596.35259,14513.73494
01-01-2017 07:00,4.453833333,73.4,0.082666667,0.0655,0.1195,18540.7595,11449.84802,11552.77109
01-01-2017 08:00,4.655166667,73.6,0.082666667,13.76383333,6.308666667,19605.06329,11738.60182,11190.36145
01-01-2017 09:00,4.609166667,73.98333333,0.082166667,144.8,25.215,22905.31646,13814.58967,13026.50602
01-01-2017 10:00,6.145333333,69.635,3.7385,293.2666667,31.875,26685.56962,16232.82675,14801.92771
01-01-2017 11:00,9.893333333,58.03666667,2.088166667,408.0833333,36.34166667,29288.10127,17772.03647,16000.96386
01-01-2017 12:00,14.84666667,57.07833333,0.075666667,478.85,40.20166667,29889.62025,18187.84195,16853.01205
01-01-2017 13:00,15.68,57.07166667,0.076666667,493.9333333,41.76166667,30231.89874,18378.1155,17298.31325
01-01-2017 14:00,15.76666667,55.63666667,0.0765,451.4166667,41.48333333,29898.73418,18099.08815,16873.25301
01-01-2017 15:00,15.55833333,58.19166667,0.074833333,303.5,54.76666667,29218.22785,17722.79635,16594.6988
01-01-2017 16:00,15.47166667,58.29166667,0.076,217.5166667,214.2666667,28730.12658,17503.34347,16388.43373
01-01-2017 17:00,15.14666667,59.93333333,0.0785,102.635,125.28,34423.29114,21094.83283,22275.66265
01-01-2017 18:00,14.01333333,65.27333333,0.077333333,4.804833333,4.874833333,39619.24051,24361.70213,25729.15663
01-01-2017 19:00,11.81,70.20833333,0.0775,0.060666667,0.1,40318.98734,24692.40122,26186.0241
01-01-2017 20:00,11.69,70.88333333,0.077166667,0.062166667,0.097833333,40371.64557,25406.07903,26493.49398
01-01-2017 21:00,11.74833333,70.82666667,0.075333333,0.0585,0.096333333,38712.91139,24836.47416,25344.57831
01-01-2017 22:00,12.79166667,66.20666667,0.074333333,0.064833333,0.117,34972.1519,23067.4772,22582.16867
01-01-2017 23:00,11.71166667,72.50666667,0.075,0.067833333,0.099666667,30072.91139,20105.77508,19578.79518
01-02-2017 00:00,10.66666667,78.03333333,0.076666667,0.065833333,0.1405,25303.29114,17007.90273,16884.81928
01-02-2017 01:00,10.70333333,78.91666667,0.076166667,0.071333333,0.138666667,22512.40506,14910.6383,15079.51807
01-02-2017 02:00,11.03166667,76.75,0.077833333,0.0685,0.147666667,20945.82278,13835.86626,14165.78313
01-02-2017 03:00,10.56833333,79.26666667,0.0775,0.069,0.1435,20097.21519,13466.2614,13794.6988
01-02-2017 04:00,10.25333333,81.93333333,0.076166667,0.076333333,0.139666667,20066.83544,13248.63222,13604.81928
01-02-2017 05:00,9.73,83.55,0.077,0.072,0.149,20838.48101,13910.6383,14052.04819
01-02-2017 06:00,9.336666667,84.65,0.076,0.0565,0.138,23307.34177,15348.32827,14654.45783
01-02-2017 07:00,9.543333333,84.9,0.077333333,0.075833333,0.135833333,22895.18987,15709.42249,12863.61446
01-02-2017 08:00,8.873333333,83.91666667,0.081833333,10.45366667,6.917,24368.60759,16416.41337,11957.59036
01-02-2017 09:00,9.488333333,86.11666667,0.079833333,128.585,31.36,24505.31646,18190.88146,13539.27711
01-02-2017 10:00,12.865,74.43666667,0.076666667,278.4666667,41.51833333,26384.81013,19947.11246,15385.06024
01-02-2017 11:00,15.05,58.00833333,0.076166667,402.55,41.35333333,28224.81013,20830.39514,16511.80723
01-02-2017 12:00,15.16833333,58.125,0.076,471.0833333,43.23666667,29581.77215,19950.75988,18199.51807
01-02-2017 13:00,15.30666667,59.30833333,0.076333333,484,44.005,29485.56962,19572.03647,18946.50602
01-02-2017 14:00,15.56333333,55.98666667,0.075666667,444.9666667,42.28833333,28611.64557,20161.70213,18274.6988
01-02-2017 15:00,15.475,57.26333333,0.0755,353.0166667,64.53333333,28971.13924,21335.56231,16510.84337
01-02-2017 16:00,15.23833333,60.76333333,0.076,225.5666667,225.2333333,29996.96203,20641.33739,16346.98795
01-02-2017 17:00,14.96666667,61.64166667,0.077333333,86.53333333,107.6733333,37022.78481,24476.59575,22448.19277
01-02-2017 18:00,14.20666667,65.69166667,0.076,3.621333333,3.677833333,41747.8481,26987.84195,25507.46988
